Date,Open,High,Low,Close,Adj Close,Volume,%change
13/12/2021,340.679993,343.790009,339.079987,339.399994,336.249268,28899400,0.017015887
14/12/2021,333.220001,334.640015,324.109985,328.339996,325.291962,44438700,-0.021897359
15/12/2021,328.609985,335.190002,324.5,334.649994,331.543365,35381100,-0.013834752
16/12/2021,335.709991,336.76001,323.019989,324.899994,321.883911,35034800,0.021606179
17/12/2021,320.880005,324.920013,317.25,323.799988,320.794098,47750300,-0.044174992
20/12/2021,320.049988,322.799988,317.570007,319.910004,316.940216,28326500,-0.00258669
21/12/2021,323.290009,327.730011,319.799988,327.290009,324.251709,24740600,0.010123484
22/12/2021,328.299988,333.609985,325.75,333.200012,330.106873,24831500,0.015496857
23/12/2021,332.75,336.390015,332.730011,334.690002,331.583008,19617800,0.013554713
27/12/2021,335.459991,342.480011,335.429993,342.450012,339.270996,19947000,0.008144225
28/12/2021,343.149994,343.809998,340.320007,341.25,338.082092,15661500,0.022923756
29/12/2021,341.299988,344.299988,339.679993,341.950012,338.775635,15042000,-0.005391246
30/12/2021,341.910004,343.130005,338.820007,339.320007,336.170044,15994500,0.001787331
31/12/2021,338.51001,339.359985,335.850006,336.320007,333.197876,18000800,-0.00994412
03/01/2022,335.350006,338,329.779999,334.75,331.642487,28865100,-0.009335039
04/01/2022,334.829987,335.200012,326.119995,329.01001,325.95578,32674300,-0.001550675
05/01/2022,325.859985,326.070007,315.980011,316.380005,313.443024,40054300,-0.026789721
06/01/2022,313.149994,318.700012,311.48999,313.880005,310.966187,39646100,-0.039004455
07/01/2022,314.149994,316.5,310.089996,314.040009,311.124756,32720000,0.003193358
10/01/2022,309.48999,314.720001,304.690002,314.269989,311.352539,44289500,-0.014833691
11/01/2022,313.380005,316.609985,309.890015,314.980011,312.056,29386800,0.012569114
12/01/2022,319.670013,323.410004,317.079987,318.269989,315.31543,34372200,0.020071504
13/01/2022,320.470001,320.880005,304,304.799988,301.97049,45366000,0.002502543
14/01/2022,304.25,310.820007,303.75,310.200012,307.320343,39846400,-0.050613165
18/01/2022,304.070007,309.799988,301.73999,302.649994,299.840424,42333200,-0.000591596
19/01/2022,306.290009,313.910004,302.700012,303.329987,300.51413,45933900,0.007300957
20/01/2022,309.070007,311.649994,301.140015,301.600006,298.800201,35380700,0.009076359
21/01/2022,302.690002,304.109985,295.609985,296.029999,293.281921,57984400,-0.020642589
24/01/2022,292.200012,297.109985,276.049988,296.369995,293.618744,85731500,-0.034655885
25/01/2022,291.519989,294.98999,285.170013,288.48999,285.81189,72848600,-0.002327252
26/01/2022,307.98999,308.5,293.029999,296.709991,293.955566,90428900,0.056496987
27/01/2022,302.660004,307.299988,297.929993,299.839996,297.056519,53481300,-0.017305712
28/01/2022,300.230011,308.480011,294.450012,308.26001,305.398407,49743700,-0.008028788
31/01/2022,308.950012,312.380005,306.369995,310.980011,308.09314,46444500,0.029044402
01/02/2022,310.410004,310.630005,305.130005,308.76001,305.893738,40950400,0.004725658
02/02/2022,309.630005,315.119995,308.880005,313.459991,310.55011,36636000,-0.002512802
03/02/2022,309.48999,311.230011,299.959991,301.25,298.45343,43730000,-0.000452201
04/02/2022,300.209991,308.799988,299.970001,305.940002,303.099915,35096500,-0.029984811
07/02/2022,306.170013,307.839996,299.899994,300.950012,298.156219,28533300,0.019852844
08/02/2022,301.25,305.559998,299.950012,304.559998,301.732727,32421200,-0.016069546
09/02/2022,309.869995,311.929993,307.390015,311.209991,308.320984,31284700,0.028614091
10/02/2022,304.040009,309.119995,300.700012,302.380005,299.572937,45386200,-0.018814297
11/02/2022,303.190002,304.290009,294.220001,295.040009,292.301086,39175600,-0.002795708
14/02/2022,293.769989,296.76001,291.350006,295,292.261475,36359500,-0.031069669
15/02/2022,300.01001,300.799988,297.019989,300.470001,297.680725,27058300,0.021241179
16/02/2022,298.369995,300.869995,293.679993,299.5,297.333252,29982100,-0.005466534
17/02/2022,296.359985,296.799988,290,290.730011,288.626709,32461600,-0.006736636
18/02/2022,293.049988,293.859985,286.309998,287.929993,285.846924,34264000,-0.011168839
22/02/2022,285,291.540009,284.5,287.720001,285.638428,41736100,-0.027469675
23/02/2022,290.179993,291.700012,280.100006,280.269989,278.242371,37811200,0.018175414
24/02/2022,272.51001,295.160004,271.519989,294.589996,292.458771,56989700,-0.060893182
25/02/2022,295.140015,297.630005,291.649994,297.309998,295.159058,32546700,0.083042839
28/02/2022,294.309998,299.140015,293,298.790009,296.628357,34627500,-0.002812282
01/03/2022,296.399994,299.970001,292.149994,294.950012,292.816162,31217800,0.007101342
02/03/2022,295.359985,301.470001,293.700012,300.190002,298.018219,31873000,-0.003508802
03/03/2022,302.890015,303.130005,294.049988,295.920013,293.779144,27314500,0.025494415
04/03/2022,294.290009,295.660004,287.170013,289.859985,287.76297,32356500,-0.028393164
07/03/2022,288.529999,289.690002,278.529999,278.910004,276.892212,43157200,-0.019572564
08/03/2022,277.799988,283.959991,270,275.850006,273.854309,48159500,-0.037188546
09/03/2022,283.440002,289.600006,280.779999,288.5,286.412781,35204500,0.020302427
